id,name,email,phone,city,status,description,date_reported,value_estimate,duplicate_field
41,Alice,invalid-email,+49 170 1234567,Berlin,,,04/11/2024,unknown,duplicate
42,Mallory,user42@example.com,+49 170 1234567,Frankfurt,,,1751829114.827333,,
43,Mallory,invalid-email,,Frankfurt,lost,Blue backpack missing,13/05/2024,unknown,duplicate
44,,user44@example.com,+49 170 1234567,Frankfurt,lost,Found keys at cafeteria,06/03/2024,,
45,Eve,invalid-email,123456789,Frankfurt,FOUND,Blue backpack missing,15/10/2024,unknown,
46,Bob,invalid-email,00491701234567,MUNICH,,Lost black wallet near library,,88.04,
47,Alice,user47@example.com,+49 170 1234567,MUNICH,FOUND,Found keys at cafeteria,2025-11-26,,
48,Bob,invalid-email,00491701234567,MUNICH,Found,,1729710714.82741,,
49,Bob,user49@example.com,00491701234567,Berlin,,,1772392314.827419,162.48,duplicate
50,,user50@example.com,abc123,Frankfurt,FOUND,,11/07/2024,24.39,
51,,invalid-email,abc123,berlin ,,Lost black wallet near library,07-29-2025,,
52,,user52@example.com,123456789,Hamburg,,,,,
53,Eve,user53@example.com,,,,,11-28-2025,48.79,
54,,user54@example.com,abc123,MUNICH,,,10-24-2024,,
55,Peggy,invalid-email,123456789,berlin ,FOUND,Lost black wallet near library,2026-02-11,unknown,
56,Peggy,user56@example.com,abc123,Frankfurt,lost,,2024-11-11,71.29,
57,Charlie,user57@example.com,123456789,Munich,FOUND,Lost black wallet near library,01/06/2024,unknown,duplicate
58,Bob,user58@example.com,,,lost,,11-12-2024,258.34,
,Alice,user59@example.com,00491701234567,Munich,FOUND,,1707937914.827519,,
60,Alice,user60@example.com,+49 170 1234567,Berlin,lost,,1740510714.827535,,
61,Peggy,user61@example.com,,Munich,lost,,21/11/2024,265.7,
62,,user62@example.com,+49 170 1234567,Berlin,Lost,Found keys at cafeteria,15/08/2025,unknown,
63,,user63@example.com,+49 170 1234567,Frankfurt,lost,,08/12/2025,464.58,
64,,invalid-email,123456789,MUNICH,Found,Found keys at cafeteria,2024-07-09,130.55,
65,Charlie,user65@example.com,123456789,Berlin,,,1762974714.827583,,
66,David,invalid-email,abc123,,lost,,07-04-2023,83.9,
67,Alice,invalid-email,00491701234567,MUNICH,Found,Blue backpack missing,06-11-2024,303.52,
68,Bob,user68@example.com,abc123,Frankfurt,Lost,Blue backpack missing,2024-09-13,unknown,duplicate
69,David,user69@example.com,00491701234567,berlin ,,,2026-01-15,,
70,Mallory,invalid-email,,berlin ,Lost,Blue backpack missing,2025-09-09,,
71,David,user71@example.com,00491701234567,,FOUND,,,,duplicate
72,,user72@example.com,abc123,Hamburg,lost,,28/12/2024,121.21,
73,Charlie,user73@example.com,00491701234567,Frankfurt,lost,Found keys at cafeteria,1753211514.827676,,duplicate
74,Mallory,user74@example.com,abc123,Hamburg,FOUND,Lost black wallet near library,1727464314.8277,320.22,
75,Eve,user75@example.com,00491701234567,,Found,Blue backpack missing,2025-11-20,58.89,
,Peggy,user76@example.com,abc123,MUNICH,FOUND,,07-01-2025,254.75,
77,Charlie,user77@example.com,+49 170 1234567,Cologne,FOUND,Lost black wallet near library,2023-12-25,,
78,Eve,user78@example.com,00491701234567,berlin ,,,1747249914.827736,unknown,duplicate
79,Bob,user79@example.com,+49 170 1234567,Hamburg,lost,Blue backpack missing,2023-11-18,unknown,
,Mallory,user80@example.com,123456789,Hamburg,Found,Lost black wallet near library,04/12/2023,unknown,duplicate
81,Mallory,user81@example.com,+49 170 1234567,Munich,FOUND,Blue backpack missing,18/09/2025,,
82,Mallory,user82@example.com,123456789,,Found,Blue backpack missing,,375.17,duplicate
83,Eve,user83@example.com,+49 170 1234567,Hamburg,lost,,,10.67,
84,Oscar,user84@example.com,00491701234567,berlin ,,Lost black wallet near library,12-11-2023,,
85,Peggy,invalid-email,00491701234567,berlin ,,Lost black wallet near library,03/07/2024,364.75,
86,Charlie,user86@example.com,abc123,berlin ,,Lost black wallet near library,,unknown,
87,Oscar,user87@example.com,+49 170 1234567,MUNICH,Found,,1727377914.827836,unknown,
88,Oscar,user88@example.com,00491701234567,Berlin,Found,Blue backpack missing,,493.49,
89,Oscar,user89@example.com,00491701234567,MUNICH,FOUND,Found keys at cafeteria,05-26-2024,222.14,
90,Oscar,user90@example.com,abc123,berlin ,Found,,,,
91,,user91@example.com,123456789,Hamburg,Lost,,01-17-2024,153.22,duplicate
92,Alice,user92@example.com,00491701234567,MUNICH,,Found keys at cafeteria,,391.26,
93,Mallory,user93@example.com,abc123,Munich,lost,Found keys at cafeteria,1694977914.8279,,
94,Oscar,invalid-email,abc123,berlin ,,Found keys at cafeteria,,,
95,Charlie,user95@example.com,00491701234567,Berlin,,Blue backpack missing,09-18-2023,unknown,
96,Eve,user96@example.com,+49 170 1234567,Munich,,Lost black wallet near library,,,duplicate
97,Bob,invalid-email,+49 170 1234567,berlin ,Lost,,1771528314.827936,254.81,
98,Charlie,user98@example.com,abc123,Cologne,Found,,08-23-2023,unknown,
99,,user99@example.com,+49 170 1234567,Cologne,FOUND,Found keys at cafeteria,02-01-2026,,
100,Mallory,user100@example.com,+49 170 1234567,,Lost,Blue backpack missing,1694373114.827961,unknown,
101,Peggy,invalid-email,00491701234567,Berlin,Lost,Lost black wallet near library,1712085114.82797,,duplicate
102,Bob,user102@example.com,abc123,berlin ,,,2023-06-13,340.85,
103,David,user103@example.com,123456789,Munich,,Found keys at cafeteria,05/01/2025,unknown,
104,Bob,user104@example.com,abc123,MUNICH,Found,Found keys at cafeteria,1770232314.827995,,duplicate
105,Alice,user105@example.com,abc123,,,,1735326714.828003,unknown,
106,,user106@example.com,00491701234567,MUNICH,lost,Found keys at cafeteria,09-24-2025,unknown,duplicate
107,Charlie,user107@example.com,00491701234567,MUNICH,FOUND,,2025-08-29,,
108,,user108@example.com,,Cologne,Lost,,1706555514.828029,unknown,duplicate
109,Bob,user109@example.com,00491701234567,Frankfurt,FOUND,Blue backpack missing,04-15-2025,,
110,David,user110@example.com,abc123,Cologne,Found,Found keys at cafeteria,1705000314.828046,unknown,
111,Mallory,user111@example.com,+49 170 1234567,Munich,lost,,2023-10-02,unknown,
112,David,user112@example.com,00491701234567,Munich,,,,292.35,
113,Mallory,user113@example.com,+49 170 1234567,,lost,Lost black wallet near library,19/06/2023,unknown,
114,,invalid-email,abc123,Berlin,,Found keys at cafeteria,2026-01-03,455.34,duplicate
115,Oscar,user115@example.com,+49 170 1234567,MUNICH,FOUND,Lost black wallet near library,,unknown,
116,Mallory,user116@example.com,+49 170 1234567,Hamburg,,Blue backpack missing,2025-03-28,unknown,duplicate
117,Peggy,user117@example.com,abc123,,,Lost black wallet near library,08/04/2024,unknown,
118,,user118@example.com,+49 170 1234567,Hamburg,Found,Lost black wallet near library,1763147514.82812,unknown,
119,,user119@example.com,+49 170 1234567,Berlin,Lost,,08-06-2025,unknown,
120,,user120@example.com,abc123,Munich,Found,Lost black wallet near library,30/03/2025,24.72,
121,Alice,user121@example.com,123456789,Munich,,,07-11-2023,8.19,
122,David,invalid-email,00491701234567,MUNICH,Lost,Blue backpack missing,12-03-2023,346.75,duplicate
123,Eve,user123@example.com,,,Lost,Blue backpack missing,1769368314.828183,,
124,David,user124@example.com,123456789,berlin ,,,,285.62,
125,Peggy,user125@example.com,00491701234567,,lost,,09-19-2024,unknown,
126,Mallory,user126@example.com,,berlin ,,,10-15-2025,4.65,
127,Oscar,user127@example.com,,Berlin,lost,Lost black wallet near library,2025-02-04,unknown,duplicate
,Oscar,user128@example.com,+49 170 1234567,,Lost,Lost black wallet near library,2024-11-11,478.74,
129,,user129@example.com,+49 170 1234567,Cologne,lost,,19/03/2025,195.0,
,,user130@example.com,123456789,Frankfurt,lost,Lost black wallet near library,1737141114.828268,,
131,,invalid-email,00491701234567,Munich,lost,Blue backpack missing,1698606714.828285,253.95,
132,,invalid-email,123456789,,FOUND,Blue backpack missing,1687893114.828305,,
133,,user133@example.com,123456789,MUNICH,Found,Blue backpack missing,1729710714.828313,,duplicate
134,Peggy,user134@example.com,00491701234567,,,,03-31-2025,,
,Mallory,invalid-email,abc123,berlin ,Found,Blue backpack missing,1705864314.82833,115.79,
136,,user136@example.com,00491701234567,Munich,FOUND,,2025-12-09,143.43,duplicate
137,Charlie,user137@example.com,+49 170 1234567,,Found,Lost black wallet near library,20/09/2025,,
138,,invalid-email,123456789,Hamburg,Lost,Lost black wallet near library,12-18-2024,unknown,
139,Eve,user139@example.com,00491701234567,Hamburg,Found,,12-19-2024,unknown,
140,David,user140@example.com,,berlin ,,Found keys at cafeteria,03-12-2025,unknown,
141,Peggy,user141@example.com,abc123,Frankfurt,,Found keys at cafeteria,08-31-2023,460.66,
142,David,user142@example.com,+49 170 1234567,berlin ,FOUND,Found keys at cafeteria,,412.01,duplicate
143,,user143@example.com,,Berlin,Found,Blue backpack missing,01-10-2025,276.48,duplicate
,Charlie,user144@example.com,abc123,Cologne,Lost,Blue backpack missing,2025-04-05,,
145,Eve,user145@example.com,,Berlin,Lost,,09-28-2023,179.87,
146,David,user146@example.com,00491701234567,MUNICH,Lost,Blue backpack missing,11-22-2024,,duplicate
,Oscar,user147@example.com,00491701234567,,lost,Blue backpack missing,11-29-2024,74.01,
148,,invalid-email,abc123,MUNICH,,,2023-11-26,unknown,
149,Charlie,user149@example.com,123456789,Berlin,FOUND,,1701112314.828477,97.83,duplicate
150,Alice,user150@example.com,+49 170 1234567,berlin ,Lost,,10-06-2023,unknown,duplicate
151,Alice,user151@example.com,+49 170 1234567,Berlin,Lost,Lost black wallet near library,,131.34,duplicate
152,David,user152@example.com,,Munich,Lost,Blue backpack missing,1705173114.828502,,duplicate
153,David,user153@example.com,+49 170 1234567,Hamburg,lost,Found keys at cafeteria,,,duplicate
154,Oscar,user154@example.com,123456789,,Found,Blue backpack missing,11-17-2024,unknown,
155,Eve,invalid-email,+49 170 1234567,Munich,Found,,2025-04-20,271.51,duplicate
156,Oscar,invalid-email,+49 170 1234567,MUNICH,FOUND,Lost black wallet near library,1766689914.828547,unknown,
157,Bob,user157@example.com,123456789,Cologne,,Blue backpack missing,03/07/2025,,duplicate
158,David,user158@example.com,123456789,Frankfurt,FOUND,,19/10/2025,,
159,Bob,invalid-email,+49 170 1234567,,,Blue backpack missing,12/06/2024,407.77,duplicate
160,Alice,user160@example.com,+49 170 1234567,Cologne,,,24/11/2024,,
161,Alice,user161@example.com,123456789,Cologne,,,1702926714.8286,unknown,duplicate
162,David,invalid-email,123456789,MUNICH,Lost,,1745608314.82861,unknown,
163,,user163@example.com,abc123,Hamburg,Lost,Blue backpack missing,,,duplicate
164,,user164@example.com,00491701234567,Berlin,,Blue backpack missing,12/08/2023,,
,Oscar,user165@example.com,abc123,Berlin,,Found keys at cafeteria,,unknown,
166,Peggy,invalid-email,123456789,Munich,lost,,12/05/2025,unknown,
167,David,user167@example.com,+49 170 1234567,berlin ,FOUND,Lost black wallet near library,2023-09-27,41.97,
168,Mallory,user168@example.com,,berlin ,lost,,2023-10-22,,duplicate
169,Charlie,user169@example.com,123456789,MUNICH,,Blue backpack missing,2024-08-27,68.57,
170,Peggy,user170@example.com,abc123,Frankfurt,,Lost black wallet near library,09-16-2025,,
,Alice,user171@example.com,abc123,Munich,,Blue backpack missing,,418.52,
172,Alice,user172@example.com,00491701234567,Frankfurt,,Found keys at cafeteria,19/04/2024,,
173,Mallory,invalid-email,00491701234567,Cologne,FOUND,Blue backpack missing,25/05/2025,4.42,duplicate
174,,invalid-email,abc123,Berlin,,,2024-10-30,51.39,
175,Mallory,user175@example.com,abc123,,,Found keys at cafeteria,02/10/2024,unknown,duplicate
176,Charlie,user176@example.com,+49 170 1234567,Frankfurt,,,24/05/2025,,
177,Alice,user177@example.com,abc123,Cologne,lost,Lost black wallet near library,07-31-2023,413.8,
178,Peggy,user178@example.com,+49 170 1234567,Frankfurt,Lost,,,unknown,
179,David,invalid-email,123456789,Berlin,,,30/04/2024,,
180,Oscar,user180@example.com,123456789,Frankfurt,FOUND,Found keys at cafeteria,03-11-2024,,
181,Charlie,user181@example.com,abc123,Berlin,,,2026-01-10,135.16,
182,Peggy,user182@example.com,00491701234567,Berlin,lost,Blue backpack missing,04/11/2025,unknown,
183,Eve,user183@example.com,00491701234567,Cologne,FOUND,Blue backpack missing,2023-09-25,12.48,
184,Oscar,user184@example.com,+49 170 1234567,Munich,FOUND,Found keys at cafeteria,09-10-2024,,
185,Oscar,user185@example.com,,Frankfurt,lost,,2025-11-14,,
186,,invalid-email,+49 170 1234567,Munich,Found,,11/03/2025,347.15,
187,Alice,user187@example.com,00491701234567,Berlin,,,09-10-2024,49.33,duplicate
188,Eve,user188@example.com,00491701234567,MUNICH,FOUND,,11/10/2025,120.49,
189,Oscar,user189@example.com,00491701234567,,lost,,07/04/2025,unknown,
190,David,invalid-email,abc123,Frankfurt,,Blue backpack missing,12-04-2025,412.36,
191,Peggy,user191@example.com,abc123,Frankfurt,FOUND,,2024-07-26,unknown,duplicate
192,Bob,invalid-email,00491701234567,Munich,,,18/12/2025,79.14,duplicate
193,Oscar,invalid-email,+49 170 1234567,MUNICH,,,14/11/2023,,
194,,user194@example.com,,berlin ,Lost,,2024-04-04,,duplicate
195,Alice,user195@example.com,+49 170 1234567,Berlin,,Found keys at cafeteria,1759691514.82895,unknown,duplicate
196,Peggy,invalid-email,+49 170 1234567,Munich,lost,,2024-02-02,,
197,Eve,user197@example.com,123456789,berlin ,Lost,Lost black wallet near library,08-23-2025,unknown,duplicate
198,Peggy,user198@example.com,,Munich,lost,Lost black wallet near library,,unknown,
199,Eve,user199@example.com,+49 170 1234567,Munich,lost,Found keys at cafeteria,1722539514.828984,unknown,
200,,user200@example.com,,Cologne,Lost,Blue backpack missing,2026-01-07,327.5,
201,,user201@example.com,+49 170 1234567,Cologne,,Lost black wallet near library,1741979514.829002,,
202,David,user202@example.com,123456789,Cologne,,Blue backpack missing,,unknown,
203,Bob,user203@example.com,,,FOUND,,27/03/2025,,
204,,user204@example.com,123456789,,Found,,14/11/2025,unknown,
205,Bob,invalid-email,00491701234567,Hamburg,lost,,,,
206,David,user206@example.com,+49 170 1234567,berlin ,lost,Lost black wallet near library,1722971514.829044,396.48,
207,Alice,invalid-email,,berlin ,lost,Found keys at cafeteria,10/09/2024,unknown,
208,Eve,invalid-email,123456789,Berlin,,,2025-05-03,250.02,duplicate
209,Oscar,user209@example.com,00491701234567,Munich,Lost,Found keys at cafeteria,07-09-2023,293.12,
210,,user210@example.com,abc123,Berlin,,Blue backpack missing,,unknown,
211,Oscar,user211@example.com,+49 170 1234567,Cologne,Lost,,11-15-2023,unknown,duplicate
212,Oscar,user212@example.com,00491701234567,Cologne,Lost,,08/05/2025,,
213,Mallory,user213@example.com,abc123,Munich,,Found keys at cafeteria,08-20-2025,unknown,
214,Peggy,user214@example.com,abc123,,Lost,,02/04/2024,496.19,
215,Charlie,user215@example.com,abc123,Cologne,,,10-01-2023,57.43,
216,Oscar,user216@example.com,123456789,Munich,lost,Lost black wallet near library,29/10/2025,unknown,duplicate
217,Oscar,invalid-email,00491701234567,berlin ,,Found keys at cafeteria,2023-10-06,199.29,
218,Peggy,invalid-email,,,Lost,,,unknown,
219,Peggy,user219@example.com,123456789,Frankfurt,Lost,Found keys at cafeteria,17/08/2024,unknown,
220,,invalid-email,123456789,Hamburg,,Lost black wallet near library,10-09-2025,unknown,
221,Charlie,invalid-email,00491701234567,MUNICH,Found,Blue backpack missing,12-18-2024,310.65,
222,Charlie,user222@example.com,abc123,MUNICH,,,,161.58,duplicate
223,David,user223@example.com,+49 170 1234567,Hamburg,,Lost black wallet near library,04-27-2024,,duplicate
224,David,invalid-email,00491701234567,Berlin,,Lost black wallet near library,1732821114.829216,unknown,
225,David,user225@example.com,,Cologne,Lost,,,,duplicate
226,Mallory,invalid-email,+49 170 1234567,Frankfurt,Found,Found keys at cafeteria,2026-02-01,unknown,
227,David,user227@example.com,00491701234567,Munich,FOUND,Found keys at cafeteria,21/12/2024,,duplicate
228,,user228@example.com,+49 170 1234567,MUNICH,,Blue backpack missing,1693422714.82925,unknown,
229,Bob,user229@example.com,abc123,Hamburg,Found,,2023-08-22,unknown,duplicate
230,Alice,user230@example.com,abc123,Munich,lost,Lost black wallet near library,,76.05,duplicate
231,,user231@example.com,abc123,berlin ,,,2024-03-26,unknown,duplicate
232,David,user232@example.com,abc123,,,Lost black wallet near library,1754593914.829295,,
233,Peggy,invalid-email,123456789,,lost,Found keys at cafeteria,22/02/2024,unknown,
234,Bob,user234@example.com,00491701234567,berlin ,Found,,08-04-2023,unknown,duplicate
235,Bob,invalid-email,abc123,Munich,,,2023-07-06,,
236,,user236@example.com,123456789,Frankfurt,FOUND,Blue backpack missing,,114.44,
237,Oscar,user237@example.com,+49 170 1234567,,lost,Lost black wallet near library,,74.44,
238,Eve,user238@example.com,+49 170 1234567,,lost,Lost black wallet near library,2024-06-29,,duplicate
239,Eve,user239@example.com,00491701234567,Frankfurt,,Lost black wallet near library,10-19-2023,,
240,,user240@example.com,123456789,Munich,,Lost black wallet near library,1707419514.829385,25.05,duplicate
241,Bob,user241@example.com,+49 170 1234567,Hamburg,,Found keys at cafeteria,1736277114.829395,225.18,
242,,user242@example.com,00491701234567,berlin ,,,01-29-2025,57.26,
243,Alice,user243@example.com,00491701234567,Frankfurt,Found,,2024-11-12,unknown,duplicate
244,Alice,user244@example.com,,Hamburg,FOUND,Blue backpack missing,2024-10-28,57.95,duplicate
245,Oscar,user245@example.com,+49 170 1234567,Berlin,,,1693595514.829453,unknown,
246,David,user246@example.com,+49 170 1234567,berlin ,Found,,12/03/2024,155.08,
247,Bob,user247@example.com,00491701234567,Berlin,,,17/11/2025,,
248,Bob,user248@example.com,123456789,Munich,lost,,1736104314.829478,14.95,
249,,user249@example.com,,Cologne,lost,,2025-04-29,unknown,
250,Peggy,user250@example.com,,Munich,,,,,duplicate
251,Eve,user251@example.com,+49 170 1234567,Berlin,Lost,Blue backpack missing,2025-06-07,,
,,invalid-email,00491701234567,Frankfurt,Found,Lost black wallet near library,2025-02-16,unknown,
253,Peggy,user253@example.com,123456789,Berlin,lost,Blue backpack missing,1690744314.829543,,
254,Mallory,user254@example.com,+49 170 1234567,berlin ,FOUND,,2024-08-18,,
255,Eve,user255@example.com,+49 170 1234567,Cologne,,Found keys at cafeteria,2023-11-23,39.93,
256,Bob,user256@example.com,123456789,berlin ,,,11/08/2024,,
257,Charlie,user257@example.com,+49 170 1234567,Cologne,FOUND,Lost black wallet near library,12-07-2024,477.48,duplicate
258,,user258@example.com,123456789,berlin ,Found,,24/09/2023,unknown,duplicate
259,Bob,user259@example.com,,berlin ,lost,Found keys at cafeteria,17/07/2025,,duplicate
260,Mallory,user260@example.com,123456789,,Lost,,,44.85,
261,Mallory,invalid-email,00491701234567,Munich,,,,187.35,duplicate
262,,user262@example.com,,Munich,,Blue backpack missing,,unknown,duplicate
263,David,user263@example.com,,,,Found keys at cafeteria,1700248314.829649,,
264,David,user264@example.com,123456789,Munich,FOUND,Lost black wallet near library,1740597114.829664,213.29,duplicate
265,Alice,invalid-email,,MUNICH,FOUND,,09-10-2025,unknown,
266,Charlie,invalid-email,+49 170 1234567,MUNICH,lost,,,,
267,Eve,user267@example.com,+49 170 1234567,berlin ,Found,Blue backpack missing,2024-01-02,unknown,
268,Oscar,user268@example.com,+49 170 1234567,Munich,lost,Found keys at cafeteria,,62.21,
269,Alice,user269@example.com,,Berlin,,,09-29-2025,184.69,duplicate
270,Alice,user270@example.com,,Munich,Found,,2023-09-30,473.49,duplicate
271,Eve,user271@example.com,00491701234567,Frankfurt,,Lost black wallet near library,2025-09-03,,duplicate
272,David,user272@example.com,+49 170 1234567,Cologne,FOUND,,2025-11-09,67.75,
273,Peggy,user273@example.com,,Berlin,lost,Lost black wallet near library,02-08-2026,,
274,Oscar,user274@example.com,,Munich,FOUND,,08-26-2024,,duplicate
275,Peggy,user275@example.com,00491701234567,MUNICH,,Found keys at cafeteria,09/02/2024,unknown,
276,Charlie,user276@example.com,+49 170 1234567,Hamburg,,,,103.9,
277,Alice,user277@example.com,,Berlin,FOUND,,10-28-2025,,
278,,user278@example.com,abc123,Berlin,Found,Lost black wallet near library,,481.64,
279,Mallory,user279@example.com,+49 170 1234567,Munich,FOUND,Found keys at cafeteria,2024-09-09,331.23,
280,,user280@example.com,+49 170 1234567,Hamburg,Lost,Found keys at cafeteria,1745953914.829854,unknown,
281,,user281@example.com,123456789,berlin ,,,2023-08-12,295.32,
282,,user282@example.com,abc123,Frankfurt,FOUND,Lost black wallet near library,1717614714.829871,unknown,
283,Mallory,invalid-email,+49 170 1234567,MUNICH,,Found keys at cafeteria,,,
284,Mallory,invalid-email,abc123,berlin ,,Found keys at cafeteria,,,duplicate
285,Bob,user285@example.com,abc123,Munich,Lost,,,,
286,Oscar,user286@example.com,abc123,Munich,FOUND,Found keys at cafeteria,1767899514.829908,198.76,duplicate
287,David,user287@example.com,+49 170 1234567,Cologne,lost,Found keys at cafeteria,2025-07-29,unknown,
288,Bob,user288@example.com,123456789,Cologne,,Lost black wallet near library,08-31-2024,unknown,
,Peggy,user289@example.com,123456789,Cologne,FOUND,,2024-04-03,unknown,
290,Mallory,user290@example.com,123456789,Frankfurt,Found,,05-19-2024,119.63,
291,Charlie,user291@example.com,123456789,Munich,lost,,03-02-2025,unknown,
292,David,user292@example.com,00491701234567,,,Blue backpack missing,2026-01-10,,
293,Charlie,user293@example.com,,Munich,FOUND,Blue backpack missing,2024-01-30,unknown,
294,Mallory,user294@example.com,+49 170 1234567,Berlin,,,2025-02-19,,
295,Eve,user295@example.com,,Munich,Lost,Found keys at cafeteria,2025-03-11,440.54,
296,Bob,user296@example.com,,Munich,,,1715368314.830014,unknown,
297,Peggy,user297@example.com,,Berlin,Found,,,109.13,
298,Charlie,user298@example.com,+49 170 1234567,Munich,FOUND,Lost black wallet near library,,,duplicate
299,Bob,invalid-email,00491701234567,Berlin,FOUND,,04-20-2024,446.39,
300,Oscar,user300@example.com,00491701234567,Cologne,Found,,2025-06-25,122.64,duplicate
301,Charlie,user301@example.com,123456789,MUNICH,,,2023-12-19,unknown,
302,Alice,user302@example.com,00491701234567,Cologne,Found,Blue backpack missing,2023-11-17,unknown,
303,,user303@example.com,123456789,Frankfurt,lost,,1768763514.830076,228.04,duplicate
304,,invalid-email,,Cologne,,,08-17-2024,unknown,
305,Alice,user305@example.com,00491701234567,berlin ,Found,Lost black wallet near library,02-13-2025,,duplicate
306,Mallory,invalid-email,00491701234567,Hamburg,Lost,Lost black wallet near library,12-01-2024,87.59,
307,Charlie,user307@example.com,00491701234567,,Found,Blue backpack missing,2024-12-02,,duplicate
308,David,user308@example.com,abc123,Cologne,FOUND,,19/12/2023,unknown,
309,Charlie,invalid-email,123456789,Frankfurt,lost,Blue backpack missing,2023-11-28,unknown,
310,Peggy,user310@example.com,abc123,MUNICH,,Lost black wallet near library,,199.31,
311,Oscar,user311@example.com,123456789,,Lost,Found keys at cafeteria,16/10/2023,459.8,
312,Oscar,user312@example.com,00491701234567,Berlin,lost,,,unknown,duplicate
313,Oscar,user313@example.com,00491701234567,MUNICH,Found,Lost black wallet near library,,,duplicate
314,,user314@example.com,123456789,Cologne,FOUND,Lost black wallet near library,,488.61,duplicate
315,David,user315@example.com,123456789,,lost,Blue backpack missing,01-31-2026,211.56,duplicate
316,Bob,invalid-email,+49 170 1234567,berlin ,,Blue backpack missing,2024-01-31,unknown,duplicate
317,Mallory,user317@example.com,123456789,Cologne,FOUND,,1714245114.830199,unknown,duplicate
318,Alice,user318@example.com,,Hamburg,Lost,Lost black wallet near library,11/08/2023,unknown,
319,Peggy,user319@example.com,+49 170 1234567,,,,1730833914.830216,,
320,,user320@example.com,00491701234567,,FOUND,Found keys at cafeteria,,177.91,
321,David,user321@example.com,123456789,Berlin,lost,,11-19-2024,102.18,
322,Alice,user322@example.com,00491701234567,berlin ,,Blue backpack missing,06-09-2025,unknown,
323,Peggy,user323@example.com,123456789,Berlin,Found,,2024-07-15,unknown,
324,Alice,user324@example.com,,Berlin,,,01-23-2025,unknown,
325,Oscar,user325@example.com,,Cologne,,,,unknown,duplicate
326,,user326@example.com,abc123,Munich,lost,Lost black wallet near library,19/07/2024,,
